X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
-105.453900002,37.776396112,6887,,DEFAULT,,2017/08/01 17:00:00+00,2017/08/01 18:00:00+00,0.5,1,COPBC,35000,,,,Minimal,Creeping,Smoldering,,Natural,,,K5FR,,2017/07/12 22:08:00+00,Type 4 Incident,2017/08/08 17:00:00+00,,,100,,PP,1502,RMCC,2017/08/02 00:00:00+00,2017/07/31 06:14:59+00,2017/08/02 00:00:00+00,F,Type 4 IC,Castle Creek,"31 miles East of Alamosa, CO",WF,FI,37.76977,-105.451,1,,{9BBB00D9-8E1D-48A8-BDEA-0A8637DC57C9},,0,1,0,0,0,0,001175,100,100,Crestone,Saguache,,08109,,COGSP,,NPS,Federal,,,,,,,RM40,NPS,COGSP,US-CO,,,Timber (Litter and Understory),,,2017-COGSP-001175,Approved Decision,wildcad,wildcad,0,,,2017/07/13 14:24:16+00,2017/08/08 17:21:02+00,IRWIN,{3AC6279C-A460-4B7C-8A78-1146ABCF8D50},,,
-104.419010096,40.7402465960001,7298,,CERTIFIED,,2020/03/08 23:15:00+00,2020/03/09 00:00:00+00,500,5,COFTC,5000,,,2020/08/02 17:51:08+00,Active,Running,,,Human,Firearms/Weapons,,M0W5,,2020/03/08 20:51:00+00,Type 5 Incident,2020/04/30 15:00:00+00,0,100,0,0,,,RMCC,2020/03/08 23:15:00+00,2020/03/08 20:15:00+00,2020/03/08 23:15:00+00,F,Type 5 IC,Sand,"6 miles NW of Briggsdale, CO",WF,FI,40.74171,-104.409,5,2020/03/08 20:58:59+00,{AA158137-CAF8-4126-AF2B-DE894D974691},,0,1,1,0,1,,000060,100,100,,Weld,COFTC,08123,FS,COARF,,USFS,Federal,,,,,,,RM23,FS,COARF,US-CO,Grass,GR1,Short Grass (1 foot),,15,2020-COARF-000060,No Decision,wildcad,INFORM_Inspector,0,,,2020/03/08 22:42:28+00,2020/08/02 17:51:09+00,IRWIN,{0C390F30-20AC-4C46-8B35-28C50D22E615},,,
-108.548621769,37.6377836930001,7325,,DEFAULT,,2016/11/22 15:59:59+00,2016/11/29 18:59:59+00,365,0.1,CODRC,16000,,,,Minimal,Smoldering,,,Natural,,,KS5N,,2016/11/02 17:35:00+00,Type 4 Incident,2016/11/29 18:59:59+00,100,,,,P2,0213,RMCC,2016/11/22 15:00:00+00,2016/11/17 18:00:00+00,2016/11/22 15:00:00+00,F,Type 4 IC,Knolls,,WF,FI,37.6377,-108.5484,0.1,,{660CD23D-8057-44AE-9676-235BDB8D788F},,0,1,0,0,0,,001485,100,,,Dolores,,08033,,COSJF,,USFS,Federal,,,,,,,RM35,FS,COSJF,US-CO,,,Brush (2 feet),Timber (Grass and Understory),3,2016-COSJF-001485,Approved Decision,wildcad,wildcad,0,,,2016/11/02 18:42:37+00,2016/11/29 20:49:36+00,IRWIN,{B4053C00-C023-428A-AD5C-3A6FA681B62D},,,
-104.003009993,40.69904662,8455,,DEFAULT,,2019/03/20 18:24:59+00,2019/03/20 18:24:59+00,1028,500,COFTC,10000,,,,Minimal,,,,Human,,,L7B9,,2019/03/19 21:24:59+00,Type 5 Incident,2019/03/22 17:10:59+00,0,100,0,0,PN,1502,RMCC,2019/03/20 22:30:00+00,2019/03/20 15:00:00+00,2019/03/20 22:30:00+00,F,Type 5 IC,Keota,"4 miles east of Keota, CO.",WF,FI,40.69238,-103.9736,500,,{C63B9519-E372-4B28-85AE-93AA89A377DC},,0,1,1,0,0,,000073,0,100,,Weld,COFTC,08123,FS,COARF,,USFS,Federal,,,,,,,RM24,FS,COARF,US-CO,,,Short Grass (1 foot),,,2019-COARF-000073,No Decision,wildcad,wildcad,0,,,2019/03/20 16:57:39+00,2019/12/20 16:11:18+00,IRWIN,{B7471905-3569-4EC4-8A9E-2D55A270DE3A},,,
-107.361010381,37.324205927,8563,,DEFAULT,,,,0.3,0.25,CODRC,1350,,,,,,,,Natural,,,,,2015/08/25 22:13:39+00,Type 5 Incident,2015/09/17 19:50:00+00,,,,,P2,0213,RMCC,2015/09/17 21:59:59+00,2015/09/17 20:29:59+00,2015/09/17 21:59:59+00,F,Type 4 IC,Sheep,,WF,FI,37.3103,-107.3896,0.25,,{740FCC3A-F78D-45D4-AE10-32895955B65C},,0,0,0,0,0,,001039,100,,Pagosa Springs,Archuleta,,08007,,COSJF,,USFS,Federal,New Mexico,SW,,4W,7,35N,,,COSJF,US-CO,,,Timber (Litter and Understory),,2,2015-COSJF-001039,,wildcad,ics209,0,,,2015/08/25 23:54:21+00,2015/09/17 19:54:57+00,IRWIN,{58B94BC9-41DD-4365-934A-6C78F3B5E625},,,
-107.736950468,37.3761159100001,9999,EKU7,DEFAULT,,2017/06/07 00:00:00+00,2017/06/10 14:00:00+00,0.5,0.1,CODRC,100000,,,,Minimal,Creeping,Smoldering,,Natural,,,,,2017/06/01 19:57:39+00,Type 5 Incident,2017/06/11 14:00:00+00,,,,,P2,0213,RMCC,2017/06/08 21:59:59+00,2017/06/02 21:00:00+00,2017/06/08 21:59:59+00,F,Type 5 IC,235,"11 miles North East of Durango, CO",WF,FI,37.37611,-107.737,0.1,,{517AEE5D-D5FD-4921-A0CE-60A4C2C22CA3},,0,0,0,0,0,0,000235,100,100,,La Plata,,08067,,COSJF,,USFS,Federal,,,,,,,RM N,FS,COSJF,US-CO,,,Timber (Litter and Understory),,36,2017-COSJF-000235,Approved Decision,wildcad,wildcad,0,,,2017/06/01 23:15:54+00,2017/06/18 15:41:50+00,IRWIN,{B4218F3A-A2E6-48F5-A252-6D951D6C14DB},,,
-107.374730369,37.1752859050001,10344,,DEFAULT,5.0017,2017/10/02 14:00:00+00,2017/10/03 14:00:00+00,1020,0.1,CODRC,260000,,,,Minimal,Smoldering,Smoldering,Backing,Natural,,,K848,,2017/08/02 19:44:59+00,Type 4 Incident,2017/10/04 14:00:00+00,100,,,,P2,0213,RMCC,2017/10/04 17:00:00+00,2017/09/28 21:30:00+00,2017/10/04 17:00:00+00,F,Type 4 IC,Eight Four Two,"13 Miles East/Southeast of Bayfield, CO",WF,FI,37.20156,-107.3663,0.1,,{D54B2837-B3B2-4A38-A9AE-F6AA9343F28A},,0,1,0,0,0,0,000842,100,100,,Archuleta,,08007,,COSUA,,BIA,Federal,,,,,,,RM N,FS,COSJF,US-CO,,,Timber (Litter and Understory),Brush (2 feet),0,2017-COSJF-000842,Approved Decision,wildcad,ics209,0,,,2017/08/03 14:12:34+00,2017/10/04 17:05:24+00,IRWIN,{FA9732FF-67A8-4AF7-AB1A-629E5DCA73E7},,,
-107.931210822,40.1631762660001,11387,,DEFAULT,,2017/08/02 16:30:00+00,2017/08/28 17:00:00+00,670,1,COCRC,800000,,,,Minimal,Creeping,Smoldering,Isolated Torching,Natural,,,K4S6,,2017/07/08 01:14:00+00,Type 4 Incident,2017/10/02 17:00:00+00,,,100,,,,RMCC,2017/08/03 23:00:00+00,2017/07/27 23:00:00+00,2017/08/03 23:00:00+00,F,Type 4 IC,WILSON,8 Miles N of Meeker,WF,FI,40.15724,-107.9241,21,,{3CFF11A9-D56A-45CD-AAE6-14132C64D3BF},,0,1,0,0,0,0,000192,100,100,,Rio Blanco,,08103,,COWRD,,,,,,,,,,RM25,BLM,COWRD,US-CO,,,Brush (2 feet),Timber (Grass and Understory),0,2017-COWRD-000192,Approved Decision,wildcad,wildcad,0,,,2017/07/08 12:58:53+00,2017/12/19 21:13:18+00,IRWIN,{BEBA3124-7F82-4264-AF96-29FC2379D5A2},,,
-108.237210565,37.270955863,11671,,CERTIFIED,2901.8282,2020/06/28 00:26:00+00,2020/07/27 14:00:00+00,2905,0.1,CODRC,5745000,,,2020/08/07 16:01:24+00,Minimal,Smoldering,Smoldering,Smoldering,Natural,Lightning,,M6RH,,2020/06/14 18:40:59+00,Type 3 Incident,2020/07/27 14:00:00+00,0,100,0,0,PD,1502,RMCC,2020/06/28 00:59:59+00,2020/06/28 00:45:00+00,2020/06/28 00:59:59+00,F,Type 3 Team,East Canyon,19 miles miles of Cortez and 18 miles west of Durango CO.,WF,FI,37.27044,-108.235,2703,2020/06/14 19:02:59+00,{E82872D0-E03D-40A8-8AFD-CA68C8FFF834},,0,1,0,0,0,0,000416,100,100,Cortez,Montezuma,CODRC,08083,BLM,COSJD,,BLM,Federal,,,,,,,RM35,BLM,COSJD,US-CO,Timber,TL8,Timber (Grass and Understory),"Dormant Brush, Hardwood Slash",23,2020-COSJD-000416,Approved Decision,wildcad,INFORM_Inspector,0,Type 2 Incident,2020/06/17 12:57:53+00,2020/06/14 19:27:45+00,2020/08/07 16:01:23+00,IRWIN,{E2653FDA-8C4E-405B-AC6A-5A8DCC5445CD},,,
-104.934676662,38.540506255,11930,,DEFAULT,,2016/07/24 00:00:00+00,2016/07/26 00:00:00+00,720,5,COPBC,350000,,,,Minimal,Smoldering,Creeping,Creeping,Human,,,KE87,,2016/07/10 23:36:59+00,Type 4 Incident,2016/07/26 00:00:00+00,,100,100,,PF,1502,RMCC,2016/07/24 00:00:00+00,2016/07/18 12:59:59+00,2016/07/24 00:00:00+00,F,Type 4 IC,Hairy,,WF,FI,38.62143,-104.897,5,,{43DEDF0F-708E-445F-A7F5-F8087A0F51A9},,0,1,0,0,0,,001044,100,,Fort Carson,El Paso,,08041,,COFCQ,,,,,,,,,,RM33,USA,COFCQ,US-CO,,,"Dormant Brush, Hardwood Slash",Tall Grass (2.5 feet),6,2016-COFCQ-001044,,wildcad,wildcad,0,,,2016/07/11 19:30:29+00,2016/08/13 17:25:27+00,IRWIN,{F51E1073-70EC-4981-BC9F-E935CA2C097A},,,
-102.873909339,37.0950461690001,12683,,DEFAULT,,2019/07/19 00:00:00+00,2019/07/19 00:00:00+00,102,180,COPBC,1000,,,,,,,,Natural,,,MF4C,,2019/07/17 23:28:00+00,,2019/07/22 21:30:00+00,,,,,PN,1502,RMCC,,,,,,J and 13,,WF,FI,37.09504,-102.8739,180,,{9BC542BE-CF40-4F95-B4D1-3DD13838030C},,0,1,0,0,0,,000863,100,100,,Baca,COPBC,08009,FS,COPSF,,,,,,,,,,RM42,C&L,COBAX,US-CO,,,,,,2019-COBAX-000863,No Decision,wildcad,wildcad,0,,,2019/07/18 14:22:28+00,2020/02/10 17:00:24+00,IRWIN,{2CA653DC-1991-47CF-A4B3-37AD662D805B},,,
-106.747110662,40.9778364570001,12780,,DEFAULT,19278.829,2018/10/30 22:20:00+00,2018/11/26 17:06:00+00,28585,0.2,COCRC,8000000,,,,Minimal,Smoldering,Creeping,Group Torching,Human,,,L43R,,2018/09/16 01:36:00+00,Type 4 Incident,2018/12/13 19:30:00+00,0,70,30,0,P2,0206,RMCC,2018/11/06 18:14:59+00,2018/10/30 22:44:59+00,2018/11/06 18:14:59+00,F,Type 4 IC,RYAN,"27 miles NW Walden, CO",WF,FI,40.9972,-106.7915,5,,{806D3E5D-9E17-49BC-A071-D50122176112},,0,1,0,0,0,,000598,100,100,,Jackson,COCRC,08057,FS,WYMRF,,USFS,Federal,,,,,,,RM21,FS,WYMRF,US-CO,,,Timber (Litter and Understory),Short Grass (1 foot),6,2018-WYMRF-000598,Approved Decision,wildcad,wildcad,0,,,2018/09/16 15:08:53+00,2019/02/06 20:48:53+00,IRWIN,{62551DA7-23B6-4023-91A7-B76DB89EF222},,,
-105.290809937,37.496486082,14311,,DEFAULT,,2018/09/06 18:00:00+00,2018/11/06 18:59:59+00,108045,1,COPBC,32000000,,,,Minimal,Smoldering,Creeping,Creeping,Human,,,LW8H,,2018/06/27 21:27:00+00,Type 5 Incident,2018/11/13 21:59:59+00,0,91,9,0,PN,1502,RMCC,2018/09/06 21:45:00+00,2018/08/30 22:31:00+00,2018/09/06 21:45:00+00,F,Type 5 IC,Spring Creek ,"9 miles NE of Ft. Garland, CO",WF,FI,37.51628,-105.3066,1,,{79995136-F4E3-4613-9F1C-F05EF3076EA6},,0,1,0,0,0,,001266,100,100,,Costilla,COPBC,08023,C&L,COCTX,,,,,,,,,,RM40,C&L,COCTX,US-CO,,,Timber (Litter and Understory),Chaparral (6 feet),1,2018-COCTX-001266,Approved Decision,wildcad,wildcad,0,,,2018/06/27 22:08:06+00,2018/11/13 22:25:15+00,IRWIN,{3D831F32-9C8C-4E8A-9908-6BCD1C318CFA},,,
-108.474210655,37.6578359010001,17066,,DEFAULT,16244.0383,2018/09/06 23:00:00+00,2018/10/09 14:00:00+00,19634,2,CODRC,3801000,,,,Minimal,Smoldering,Creeping,Creeping,Natural,,,L1WX,,2018/07/22 21:17:59+00,Type 4 Incident,2018/10/17 15:59:59+00,0,0,100,0,P2,0213,RMCC,2018/09/06 23:29:59+00,2018/09/05 21:59:59+00,2018/09/06 23:29:59+00,F,Type 4 IC,Plateau ,"Approximately 13 miles North of Dolores, CO",WF,FI,37.602,-108.5054,70,,{0CEDB469-D049-4704-B471-B363D43543E4},,0,1,0,0,0,,000930,100,100,Dolores,Dolores,CODRC,08033,FS,COSJF,,USFS,Federal,,,,,,,RM37,FS,COSJF,US-CO,,,Timber (Litter and Understory),Timber (Grass and Understory),2,2018-COSJF-000930,Approved Decision,wildcad,wildcad,0,,,2018/07/23 00:07:29+00,2018/11/10 16:00:45+00,IRWIN,{F4E6CFF5-1A15-49FD-A35D-B9C3E24FAE85},,,
-107.889610721,39.4037461710001,17142,,DEFAULT,,2018/10/08 15:59:59+00,2018/12/01 18:59:59+00,2703,2,COGJC,6360000,,,,Minimal,Smoldering,Creeping,Backing,Human,,,L15J,,2018/07/29 02:22:00+00,Type 5 Incident,2018/12/06 21:59:59+00,0,20,80,0,P2,0215,RMCC,2018/10/09 17:00:00+00,2018/10/05 00:59:59+00,2018/10/09 17:00:00+00,F,Type 5 IC,Cache Creek,"8 Miles SW of Rifle, CO",WF,FI,39.44559,-107.9163,10,,{117BE473-AF98-4B69-BF1F-F85BA5233266},,0,1,0,0,0,,000409,100,100,Parachute,Garfield,COGJC,08045,FS,COWRF,,USFS,Federal,,,,,,,RM27,,COWRF,US-CO,,,Timber (Litter and Understory),Brush (2 feet),0,2018-COWRF-000409,Approved Decision,wildcad,wildcad,0,,,2018/07/29 15:43:32+00,2018/12/07 17:24:28+00,IRWIN,{A7D9A09E-2E12-4BEF-AE85-718B33B2B6D9},,,
